ID(ignored),x,y,z,station
0,13.2258,396.8805,0,0
1,159.9373,389.0772,0,0
2,362.7881,379.3203,0,0
3,567.5933,386.1468,0,0
4,0.0000,64.3689,0,0
5,1.9452,0.0000,0,0
6,173.5904,142.3908,0,0
7,185.2982,7.8033,0,0
8,329.6008,228.8265,0,0
9,330.5825,8.4138,0,0
10,565.6117,16.2171,0,0
11,166.6547,330.7356,0,0
12,332.4459,118.1373,0,0
13,264.1806,110.3340,0,0
14,291.4867,385.3587,0,0
15,289.5324,332.6892,0,0
16,277.8337,16.7055,0,0
17,234.9201,178.5990,0,0
18,231.0205,336.5964,0,0
19,285.6328,196.1592,0,1
20,298.1587,112.3542,0,0
21,214.2860,304.4730,0,0
22,235.7382,306.4266,0,0
23,218.3310,332.8779,0,0
24,255.6361,333.8547,0,0
25,252.9545,306.0603,0,0
26,249.7821,258.0306,0,0
27,232.7203,259.2516,0,0
28,284.6511,305.8161,0,0
29,286.5963,294.1167,0,0
30,318.7838,294.6051,0,0
31,320.2473,323.6205,0,0
32,231.3841,238.4724,0,0
33,283.5603,238.9608,0,0
34,423.2725,325.1523,0,0
35,427.1721,291.9855,0,0
36,381.3407,269.5635,0,0
37,373.7778,321.0009,0,0
