ID(ignored),x,y,z,station
0,0.0000,515.0622,0,0
1,17.6240,421.0563,0,0
2,25.4640,327.0504,0,0
3,31.3326,289.8432,0,0
4,39.1726,240.8811,0,0
5,48.9658,158.6301,0,0
6,58.7498,68.5425,0,0
7,62.6744,3.9183,0,0
8,107.7156,528.7707,0,0
9,113.5933,423.0210,0,0
10,111.6310,329.0151,0,0
11,111.6310,291.8079,0,0
12,107.7156,244.7994,0,0
13,115.5465,158.6301,0,0
14,113.5933,74.4144,0,0
15,121.4242,1.9536,0,0
16,213.4689,546.3975,0,0
17,197.7980,419.1027,0,0
18,199.7603,338.8053,0,0
19,197.7980,287.8896,0,0
20,195.8449,244.7994,0,1
21,197.7980,160.5948,0,0
22,199.7603,84.2046,0,0
23,201.7226,0.0000,0,0
24,299.6359,532.6890,0,0
25,299.6359,423.0210,0,0
26,297.6828,329.0151,0,0
27,293.7673,287.8896,0,0
28,297.6828,248.7177,0,0
29,297.6828,164.5020,0,0
30,289.8428,90.0876,0,0
31,293.7673,0.0000,0,0
