ID(ignored),x,y,z,station
0,0.0000,394.7715,0,0
1,3.8690,311.5548,0,0
2,3.8690,236.0859,0,0
3,17.4150,149.0064,0,0
4,56.1229,32.8893,0,0
5,58.0529,384.1710,0,0
6,58.0529,314.4963,0,0
7,61.9219,242.9013,0,0
8,76.2254,166.0005,0,0
9,165.2393,69.2418,0,0
10,240.7162,140.8479,0,0
11,174.9163,330.4914,0,0
12,130.4094,305.3388,0,0
13,134.2784,270.5070,0,0
14,64.4561,198.5457,0,0
15,115.7361,215.9616,0,0
16,137.0290,171.4506,0,0
17,165.8526,264.8793,0,0
18,203.5865,279.3981,0,0
19,231.1655,297.3024,0,0
20,191.9705,186.9906,0,0
21,228.7395,193.7616,0,1
22,315.8233,229.0818,0,0
23,280.0284,203.4408,0,0
24,292.1224,184.0935,0,0
25,252.4945,128.6934,0,0
26,189.6076,38.2284,0,0
27,68.1718,0.0000,0,0
