ID(ignored),x,y,z,station
0,0.0000,775.0575,0,0
1,10.0464,676.8336,0,0
2,10.9737,555.1665,0,0
3,15.1832,391.7745,0,0
4,13.6467,278.0550,0,0
5,15.8469,139.7490,0,0
6,25.6569,24.1647,0,0
7,51.2411,779.4198,0,0
8,49.6136,689.2878,0,0
9,122.7749,777.5661,0,0
10,123.2567,688.3221,0,0
11,123.2658,553.0797,0,0
12,129.1209,410.6667,0,0
13,129.1209,274.1034,0,0
14,129.7937,6.8265,0,0
15,186.3716,789.1323,0,0
16,186.3716,687.6894,0,0
17,248.7955,787.1787,0,0
18,254.6506,685.7358,0,0
19,264.4060,545.2764,0,0
20,258.5509,410.6667,0,0
21,266.3517,278.0106,0,0
22,266.3517,153.1467,0,0
23,262.4513,4.8729,0,0
24,320.9839,802.7853,0,0
25,320.9839,686.7126,0,0
26,328.7847,546.2532,0,0
27,326.8299,415.5507,0,1
28,330.7303,275.0802,0,0
29,326.8299,148.2738,0,0
30,324.8843,5.8497,0,0
31,391.2085,794.0052,0,0
32,393.1633,687.6894,0,0
33,391.2085,551.1372,0,0
34,391.2085,408.7131,0,0
35,397.0636,281.9067,0,0
36,389.2629,149.2506,0,0
37,393.1633,6.8265,0,0
38,482.8988,794.9820,0,0
39,482.8988,682.8165,0,0
40,480.9531,546.2532,0,0
41,478.9984,403.8402,0,0
42,478.9984,282.8835,0,0
43,471.1977,154.1235,0,0
44,478.9984,7.8033,0,0
45,553.1325,797.9124,0,0
46,555.0872,681.8397,0,0
47,547.2774,551.1372,0,0
48,553.1325,410.6667,0,0
49,543.3770,285.8139,0,0
50,539.4767,160.9500,0,0
51,535.5763,6.8265,0,0
52,617.5111,794.9820,0,0
53,611.6560,686.7126,0,0
54,617.5111,554.0565,0,0
55,613.6107,413.5971,0,0
56,607.7557,280.9299,0,0
57,611.6560,144.3666,0,0
58,603.8553,0.0000,0,0
